-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
107,acidneutralizing capacity ueql,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,Acid neutralizing capacity,acidNeutralizingCapacity,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
108,acidphosphataseactivity,4637,Biogeochemistry|Biology / Ecology|Soil Science / Pedology,Calhoun,Acid phosphatase,acidPhosphatase,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4637,4637
109,act ana gramn gramp,3970,Biogeochemistry,Luquillo,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/3970,3970
110,actinobacteria biomass,3970,Biogeochemistry,Luquillo,,,New ODM2 Term,Microbial biomass,,,,,http://criticalzone.org/national/data/dataset/3970,3970
111,ag,5986,Geochemistry / Mineralogy,Calhoun,,,?,,use existing ODM2 for silver or make new one?,,,,http://criticalzone.org/national/data/dataset/5986,5986
112,ag gl,5189,Geochemistry / Mineralogy,Shale Hills,,,?,,use existing ODM2 for silver or make new one?,gl,,,http://criticalzone.org/national/data/dataset/5189,5189
113,agbgbxcbhapnag bionmol represents total enzyme activity normalized to total biomass,3970,Biogeochemistry,Luquillo,,,New ODM2 Term,Microbial biomass,,,total,,http://criticalzone.org/national/data/dataset/3970,3970
114,agbgbxcbhapnagrepresents total extracellular enzyme activity,3970,Biogeochemistry,Luquillo,,,New ODM2 Term,Extracellular enzyme activity,,,total,,http://criticalzone.org/national/data/dataset/3970,3970
115,agcsum,5131,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,?,,aboveground carbon?,,,,http://criticalzone.org/national/data/dataset/5131,5131
116,agcsum,5137,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,?,,aboveground carbon?,,,,http://criticalzone.org/national/data/dataset/5137,5137
117,agcsum,5138,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,?,,aboveground carbon?,,,,http://criticalzone.org/national/data/dataset/5138,5138
118,agcsum,6103,Geomorphology|GIS / Remote Sensing|Hydrology|Biology / Ecology,National|Boulder|Calhoun|Catalina-Jemez|Eel|Luquillo|Reynolds|Shale Hills,,,?,,aboveground carbon?,,,,http://criticalzone.org/national/data/dataset/6103,6103
119,age years,4614,Biology / Ecology,Calhoun,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4614,4614
120,agent,4665,Social Science,Calhoun,,,Remove,,US Census 1850,,,,http://criticalzone.org/national/data/dataset/4665,4665
121,aggregatestability file2 site,4660,Soil Science / Pedology|Biology / Ecology,Calhoun,,,New ODM2 Term,Soil aggregate stability,,,,,http://criticalzone.org/national/data/dataset/4660,4660
122,air tempc,2783,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2783,2783
123,air tempc,2784,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2784,2784
124,air tempc,2785,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2785,2785
125,air tempc,2788,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2788,2788
126,air tempc,3064,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3064,3064
127,air tempc,3065,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3065,3065
128,air tempc,3639,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3639,3639
129,air tempc,4165,Water Chemistry,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4165,4165
130,air temperature,2530,Hydrology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2530,2530
131,air temperature,2595,Hydrology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2595,2595
132,air temperature,2596,Hydrology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2596,2596
